Level,Name,PSGC Code
Bgy,Barangay 117,1380601117
Bgy,Barangay 118,1380601118
Bgy,Barangay 119,1380601119
Bgy,Barangay 120,1380601120
Bgy,Barangay 121,1380601121
Bgy,Barangay 122,1380601122
Bgy,Barangay 123,1380601123
Bgy,Barangay 124,1380601124
Bgy,Barangay 125,1380601125
Bgy,Barangay 126,1380601126
Bgy,Barangay 127,1380601127
Bgy,Barangay 128,1380601128
Bgy,Barangay 129,1380601129
Bgy,Barangay 130,1380601130
Bgy,Barangay 131,1380601131
Bgy,Barangay 132,1380601132
Bgy,Barangay 133,1380601133
Bgy,Barangay 134,1380601134
Bgy,Barangay 135,1380601135
Bgy,Barangay 136,1380601136
Bgy,Barangay 137,1380601137
Bgy,Barangay 138,1380601138
Bgy,Barangay 139,1380601139
Bgy,Barangay 140,1380601140
Bgy,Barangay 141,1380601141
Bgy,Barangay 142,1380601142
Bgy,Barangay 143,1380601143
Bgy,Barangay 144,1380601144
Bgy,Barangay 145,1380601145
Bgy,Barangay 146,1380601146
Bgy,Barangay 147,1380601147
Bgy,Barangay 148,1380601148
Bgy,Barangay 149,1380601149
Bgy,Barangay 150,1380601150
Bgy,Barangay 151,1380601151
Bgy,Barangay 152,1380601152
Bgy,Barangay 153,1380601153
Bgy,Barangay 154,1380601154
Bgy,Barangay 155,1380601155
Bgy,Barangay 156,1380601156
Bgy,Barangay 157,1380601157
Bgy,Barangay 158,1380601158
Bgy,Barangay 159,1380601159
Bgy,Barangay 160,1380601160
Bgy,Barangay 161,1380601161
Bgy,Barangay 162,1380601162
Bgy,Barangay 163,1380601163
Bgy,Barangay 164,1380601164
Bgy,Barangay 165,1380601165
Bgy,Barangay 166,1380601166
Bgy,Barangay 167,1380601167
Bgy,Barangay 168,1380601168
Bgy,Barangay 169,1380601169
Bgy,Barangay 170,1380601170
Bgy,Barangay 171,1380601171
Bgy,Barangay 172,1380601172
Bgy,Barangay 173,1380601173
Bgy,Barangay 174,1380601174
Bgy,Barangay 175,1380601175
Bgy,Barangay 176,1380601176
Bgy,Barangay 177,1380601177
Bgy,Barangay 178,1380601178
Bgy,Barangay 179,1380601179
Bgy,Barangay 180,1380601180
Bgy,Barangay 181,1380601181
Bgy,Barangay 182,1380601182
Bgy,Barangay 183,1380601183
Bgy,Barangay 184,1380601184
Bgy,Barangay 185,1380601185
Bgy,Barangay 186,1380601186
Bgy,Barangay 187,1380601187
Bgy,Barangay 188,1380601188
Bgy,Barangay 189,1380601189
Bgy,Barangay 190,1380601190
Bgy,Barangay 191,1380601191
Bgy,Barangay 192,1380601192
Bgy,Barangay 193,1380601193
Bgy,Barangay 194,1380601194
Bgy,Barangay 195,1380601195
Bgy,Barangay 196,1380601196
Bgy,Barangay 197,1380601197
Bgy,Barangay 198,1380601198
Bgy,Barangay 199,1380601199
Bgy,Barangay 200,1380601200
Bgy,Barangay 201,1380601201
Bgy,Barangay 202,1380601202
Bgy,Barangay 202-A,1380601203
Bgy,Barangay 203,1380601204
Bgy,Barangay 204,1380601205
Bgy,Barangay 205,1380601206
Bgy,Barangay 206,1380601207
Bgy,Barangay 207,1380601208
Bgy,Barangay 208,1380601209
Bgy,Barangay 209,1380601210
Bgy,Barangay 210,1380601211
Bgy,Barangay 211,1380601212
Bgy,Barangay 212,1380601213
Bgy,Barangay 213,1380601214
Bgy,Barangay 214,1380601215
Bgy,Barangay 215,1380601216
Bgy,Barangay 216,1380601217
Bgy,Barangay 217,1380601218
Bgy,Barangay 218,1380601219
Bgy,Barangay 219,1380601220
Bgy,Barangay 220,1380601221
Bgy,Barangay 221,1380601222
Bgy,Barangay 222,1380601223
Bgy,Barangay 223,1380601224
Bgy,Barangay 224,1380601225
Bgy,Barangay 225,1380601226
Bgy,Barangay 226,1380601227
Bgy,Barangay 227,1380601228
Bgy,Barangay 228,1380601229
Bgy,Barangay 229,1380601230
Bgy,Barangay 230,1380601231
Bgy,Barangay 231,1380601232
Bgy,Barangay 232,1380601233
Bgy,Barangay 233,1380601234
Bgy,Barangay 234,1380601235
Bgy,Barangay 235,1380601236
Bgy,Barangay 236,1380601237
Bgy,Barangay 237,1380601238
Bgy,Barangay 238,1380601239
Bgy,Barangay 239,1380601240
Bgy,Barangay 240,1380601241
Bgy,Barangay 241,1380601242
Bgy,Barangay 242,1380601243
Bgy,Barangay 243,1380601244
Bgy,Barangay 244,1380601245
Bgy,Barangay 245,1380601246
Bgy,Barangay 246,1380601247
Bgy,Barangay 247,1380601248
Bgy,Barangay 248,1380601249
Bgy,Barangay 249,1380601250
Bgy,Barangay 250,1380601251
Bgy,Barangay 251,1380601252
Bgy,Barangay 252,1380601253
Bgy,Barangay 253,1380601254
Bgy,Barangay 254,1380601255
Bgy,Barangay 255,1380601256
Bgy,Barangay 256,1380601257
Bgy,Barangay 257,1380601258
Bgy,Barangay 258,1380601259
Bgy,Barangay 259,1380601260
Bgy,Barangay 260,1380601261
Bgy,Barangay 261,1380601262
Bgy,Barangay 262,1380601263
Bgy,Barangay 263,1380601264
Bgy,Barangay 264,1380601265
Bgy,Barangay 265,1380601266
Bgy,Barangay 266,1380601267
Bgy,Barangay 267,1380601268
SubMun,Binondo,1380602000
Bgy,Barangay 287,1380602001
Bgy,Barangay 288,1380602002
Bgy,Barangay 289,1380602003
Bgy,Barangay 290,1380602004
Bgy,Barangay 291,1380602005
Bgy,Barangay 292,1380602006
Bgy,Barangay 293,1380602007
Bgy,Barangay 294,1380602008
Bgy,Barangay 295,1380602009
Bgy,Barangay 296,1380602010
SubMun,Quiapo,1380603000
Bgy,Barangay 383,1380603003
Bgy,Barangay 384,1380603004
Bgy,Barangay 385,1380603005
Bgy,Barangay 386,1380603006
Bgy,Barangay 387,1380603007
Bgy,Barangay 388,1380603008
Bgy,Barangay 389,1380603009
Bgy,Barangay 390,1380603010
Bgy,Barangay 391,1380603011
Bgy,Barangay 392,1380603012
Bgy,Barangay 393,1380603013
Bgy,Barangay 394,1380603014
Bgy,Barangay 306,1380603015
Bgy,Barangay 307,1380603016
Bgy,Barangay 308,1380603017
Bgy,Barangay 309,1380603018
SubMun,San Nicolas,1380604000
Bgy,Barangay 268,1380604001
Bgy,Barangay 269,1380604002
Bgy,Barangay 270,1380604003
Bgy,Barangay 271,1380604004
Bgy,Barangay 272,1380604005
Bgy,Barangay 273,1380604006
Bgy,Barangay 274,1380604007
Bgy,Barangay 275,1380604008
Bgy,Barangay 276,1380604009
Bgy,Barangay 281,1380604014
Bgy,Barangay 282,1380604015
Bgy,Barangay 283,1380604016
Bgy,Barangay 284,1380604017
Bgy,Barangay 285,1380604018
Bgy,Barangay 286,1380604019
SubMun,Santa Cruz,1380605000
Bgy,Barangay 297,1380605001
Bgy,Barangay 298,1380605002
Bgy,Barangay 299,1380605003
Bgy,Barangay 300,1380605004
Bgy,Barangay 301,1380605005
Bgy,Barangay 302,1380605006
Bgy,Barangay 303,1380605007
Bgy,Barangay 304,1380605008
Bgy,Barangay 305,1380605009
Bgy,Barangay 310,1380605012
Bgy,Barangay 311,1380605013
Bgy,Barangay 312,1380605014
Bgy,Barangay 313,1380605015
Bgy,Barangay 314,1380605016
Bgy,Barangay 315,1380605017
Bgy,Barangay 316,1380605018
Bgy,Barangay 317,1380605019
Bgy,Barangay 318,1380605020
Bgy,Barangay 319,1380605021
Bgy,Barangay 320,1380605022
Bgy,Barangay 321,1380605023
Bgy,Barangay 322,1380605024
Bgy,Barangay 323,1380605025
Bgy,Barangay 324,1380605026
Bgy,Barangay 325,1380605027
Bgy,Barangay 326,1380605028
Bgy,Barangay 327,1380605029
Bgy,Barangay 328,1380605030
Bgy,Barangay 329,1380605031
Bgy,Barangay 330,1380605032
Bgy,Barangay 331,1380605033
Bgy,Barangay 332,1380605034
Bgy,Barangay 333,1380605035
Bgy,Barangay 334,1380605036
Bgy,Barangay 335,1380605037
Bgy,Barangay 336,1380605038
Bgy,Barangay 337,1380605039
Bgy,Barangay 338,1380605040
Bgy,Barangay 339,1380605041
Bgy,Barangay 340,1380605042
Bgy,Barangay 341,1380605043
Bgy,Barangay 342,1380605044
Bgy,Barangay 343,1380605045
Bgy,Barangay 344,1380605046
Bgy,Barangay 345,1380605047
Bgy,Barangay 346,1380605048
Bgy,Barangay 347,1380605049
Bgy,Barangay 348,1380605050
Bgy,Barangay 349,1380605051
Bgy,Barangay 350,1380605052
Bgy,Barangay 351,1380605053
Bgy,Barangay 352,1380605054
Bgy,Barangay 353,1380605055
Bgy,Barangay 354,1380605056
Bgy,Barangay 355,1380605057
Bgy,Barangay 356,1380605058
Bgy,Barangay 357,1380605059
Bgy,Barangay 358,1380605060
Bgy,Barangay 359,1380605061
Bgy,Barangay 360,1380605062
Bgy,Barangay 361,1380605063
Bgy,Barangay 362,1380605064
Bgy,Barangay 363,1380605065
Bgy,Barangay 364,1380605066
Bgy,Barangay 365,1380605067
Bgy,Barangay 366,1380605069
Bgy,Barangay 367,1380605070
Bgy,Barangay 368,1380605071
Bgy,Barangay 369,1380605072
Bgy,Barangay 370,1380605073
Bgy,Barangay 371,1380605074
Bgy,Barangay 372,1380605075
Bgy,Barangay 373,1380605076
Bgy,Barangay 374,1380605077
Bgy,Barangay 375,1380605078
Bgy,Barangay 376,1380605079
Bgy,Barangay 377,1380605080
Bgy,Barangay 378,1380605081
Bgy,Barangay 379,1380605082
Bgy,Barangay 380,1380605083
Bgy,Barangay 381,1380605084
Bgy,Barangay 382,1380605085
SubMun,Sampaloc,1380606000
Bgy,Barangay 395,1380606001
Bgy,Barangay 396,1380606002
Bgy,Barangay 397,1380606003
Bgy,Barangay 398,1380606004
Bgy,Barangay 399,1380606005
Bgy,Barangay 400,1380606006
Bgy,Barangay 401,1380606007
Bgy,Barangay 402,1380606008
Bgy,Barangay 403,1380606009
Bgy,Barangay 404,1380606010
Bgy,Barangay 405,1380606011
Bgy,Barangay 406,1380606012
Bgy,Barangay 407,1380606013
Bgy,Barangay 408,1380606014
